,Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Focal Depth (km),Deposits,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Damage ($Mil),Damage Description
34,1769,8,29,4.0,1.0,7.4,29.0,0,JAPAN,NA,85.0,SW. KYUSHU ISLAND,32.3,132.0,1.0,1,1.0,1.0,0,1.0,0.0,1.0
35,1769,0,0,3.0,1.0,6.5,29.0,0,GREECE,NA,50.0,CORINTH GULF,38.4,12.2,1.0,0,0.8,1.0,0,1.0,0.0,1.0
36,1770,6,3,4.0,3.0,7.5,29.0,0,HAITI,NA,74.0,PORT-AU-PRINCE,18.5,-72.3,1.0,4,0.8,1.0,0,1.0,0.0,1.0
37,1770,0,0,3.0,1.0,7.0,29.0,0,INDONESIA,NA,60.0,SW. SUMATRA,-5.0,102.0,1.0,1,0.8,0.5,0,1.0,0.0,1.0
38,1771,4,24,4.0,1.0,7.4,29.0,8,JAPAN,NA,85.0,RYUKYU ISLANDS,24.0,124.3,85.4,34,6.4,3.0,13486,4.0,0.0,4.0
39,1772,11,24,3.0,1.0,7.1,29.0,0,GREECE,NA,50.0,AEGEAN SEA,38.8,26.7,1.0,0,0.8,1.0,0,1.0,0.0,1.0
40,1773,5,6,2.0,1.0,7.1,29.0,0,MOROCCO,NA,50.0,TANGIERS,35.8,-5.83,9.0,3,0.8,5.0,0,1.0,0.0,1.0
41,1775,2,11,4.0,1.0,7.1,29.0,0,CUBA,NA,74.0,SANTIAGO DE CUBA,19.9,-76.0,1.0,2,0.8,1.0,0,1.0,0.0,3.0
42,1775,4,18,3.0,1.0,7.1,29.0,0,INDONESIA,NA,83.0,AMBON ISLAND,-3.7,128.2,1.0,1,0.8,0.0,0,1.0,0.0,1.0
43,1775,10,0,2.0,0.0,7.1,29.0,0,JAPAN,NA,85.0,"AWA, BOSO, JAPAN",36.40857595870206,139.36851880530975,1.0,3,1.0,1.0,0,3.0,0.0,2.0
44,1775,12,18,2.0,1.0,7.1,29.0,0,HAITI,NA,74.0,HAITI & DOMINICAN REPUBLIC,19.0,-72.4,1.0,2,0.8,1.0,0,1.0,0.0,3.0
45,1778,6,16,3.0,1.0,7.1,29.0,0,GREECE,NA,50.0,AEGEAN SEA,38.565999999999995,24.78375,1.0,0,0.8,3.0,0,1.0,0.0,1.0
46,1780,6,29,4.0,1.0,7.5,29.0,0,RUSSIA,NA,86.0,S. KURIL ISLANDS,45.3,151.2,12.0,6,3.6,3.0,12,1.0,0.0,1.0
47,1780,9,9,4.0,6.0,7.1,29.0,1,JAPAN,NA,85.0,SW. KYUSHU ISLAND,31.6,130.7,2.0,1,0.0,1.0,0,1.0,0.0,1.0
48,1780,9,21,3.0,1.0,7.1,29.0,0,MONTENEGRO,NA,50.0,BAY OF KOTOR,42.4,18.8,1.7,1,0.8,1.0,0,1.0,0.0,1.0
49,1780,10,31,4.0,6.0,7.1,29.0,0,JAPAN,NA,85.0,SW. KYUSHU ISLAND,31.6,130.7,1.0,1,0.0,1.0,0,1.0,0.0,1.0
50,1781,4,11,4.0,6.0,7.1,29.0,2,JAPAN,NA,85.0,SW. KYUSHU ISLAND,31.58,130.67,1.0,1,1.0,1.0,15,1.0,0.0,1.0
51,1781,4,0,3.0,0.0,7.1,29.0,0,TAIWAN,NA,84.0,KAOHSIUNG,24.0,121.0,30.0,1,0.8,1.0,1,1.0,0.0,2.0
52,1782,5,22,2.0,1.0,7.0,29.0,0,TAIWAN,NA,84.0,TAIWAN STRAIT,24.5,120.5,10.0,2,0.8,2.5,40000,4.0,0.0,3.0
53,1782,8,22,4.0,3.0,7.3,29.0,0,JAPAN,NA,85.0,"ODAWARA, SAGAMI BAY",35.1,139.7,1.0,3,1.0,1.0,0,3.0,0.0,1.0
54,1783,2,5,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,TYRRHENIAN CALABRIA,38.9,17.1,1.0,4,0.8,3.0,0,1.0,0.0,1.0
55,1783,2,5,4.0,1.0,6.9,13.0,1,ITALY,NA,50.0,TYRRHENIAN CALABRIA,38.3,15.967,1.0,11,0.8,4.0,0,1.0,0.0,1.0
56,1783,2,6,4.0,3.0,5.9,6.0,1,ITALY,NA,50.0,MESSINA STRAITS,38.217,15.633,16.0,10,0.8,1.0,1500,4.0,0.0,2.0
57,1783,3,1,3.0,1.0,5.9,29.0,0,ITALY,NA,50.0,TYRRHENIAN CALABRIA,38.767,16.3,1.0,1,0.8,3.0,0,1.0,0.0,1.0
58,1783,3,24,3.0,8.0,7.1,29.0,0,ITALY,NA,50.0,MESSINA STRAITS,38.25,15.717,1.0,1,0.8,1.0,1,1.0,0.0,1.0
59,1783,3,28,3.0,1.0,6.9,18.0,0,ITALY,NA,50.0,TYRRHENIAN CALABRIA,38.783,16.467,1.0,1,0.8,1.0,0,1.0,0.0,1.0
60,1784,1,7,4.0,1.0,4.1,29.0,0,ITALY,NA,50.0,IONIAN CALABRIA,38.317,16.4,1.0,1,0.8,5.0,0,1.0,0.0,1.0
61,1784,1,9,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,TYRRHENIAN CALABRIA,38.684000000000005,16.3808,1.0,0,0.8,3.0,0,1.0,0.0,1.0
62,1784,1,19,2.0,1.0,4.1,29.0,0,ITALY,NA,50.0,MESSINA STRAITS,38.167,15.633,1.0,4,0.8,3.0,0,1.0,0.0,1.0
63,1784,5,13,2.0,1.0,8.0,29.0,0,PERU,NA,89.0,S. PERU,-16.5,-72.0,1.0,2,0.8,1.0,0,1.0,0.0,1.0
64,1787,3,28,4.0,1.0,8.3,29.0,1,MEXICO,NA,88.0,SAN MARCOS,16.5,-98.5,4.0,6,2.0,2.5,11,1.0,0.0,3.0
65,1787,4,3,2.0,1.0,7.3,29.0,1,MEXICO,NA,88.0,SAN MARCOS,15.5,-97.0,4.0,3,2.0,1.0,0,1.0,0.0,1.0
66,1788,7,21,4.0,1.0,8.0,29.0,2,USA,AK,87.0,"ALASKA PENINSULA, AK",57.0,-153.0,30.0,4,3.0,4.0,0,3.0,0.0,1.0
67,1788,8,6,4.0,1.0,8.0,29.0,1,USA,AK,87.0,"SHUMAGIN ISLANDS, AK",55.0,-161.0,88.0,3,3.3,4.0,0,3.0,0.0,1.0
68,1789,0,0,2.0,0.0,7.1,29.0,0,JAPAN,NA,85.0,SANRIKU,38.0,141.0,1.0,1,1.0,1.0,0,1.0,0.0,1.0
69,1790,10,9,3.0,1.0,7.1,29.0,0,ALGERIA,NA,50.0,ORAN,35.7,-0.6,1.0,3,0.8,4.0,0,1.0,0.0,1.0
70,1791,5,13,2.0,0.0,7.1,29.0,0,JAPAN,NA,85.0,RYUKYU ISLANDS,32.8,130.3,11.0,4,2.0,2.5,0,1.0,0.0,1.0
71,1791,9,13,3.0,1.0,6.5,29.0,0,JAPAN,NA,85.0,OASAKA BAY,34.5,135.4,1.0,1,1.0,1.0,0,2.0,0.0,1.0
72,1791,11,2,2.0,1.0,7.0,29.0,0,GREECE,NA,50.0,IONIAN SEA,37.8,21.0,1.0,1,0.8,3.0,0,1.0,0.0,1.0
73,1792,1,23,2.0,0.0,7.1,29.0,0,PORTUGAL,NA,73.0,AZORES,39.0,-28.0,1.0,1,0.8,1.0,0,1.0,0.0,1.0
74,1792,5,21,4.0,5.0,6.4,29.0,2,JAPAN,NA,85.0,"SHIMABARA BAY, KYUSHU ISLAND",32.75,130.3,55.0,43,3.5,3.0,15000,4.0,0.0,4.0
75,1792,6,13,4.0,1.0,6.9,29.0,0,JAPAN,NA,85.0,W. HOKKAIDO ISLAND,43.5,140.6,1.0,6,1.0,1.0,0,2.0,0.0,1.0
76,1792,8,9,2.0,1.0,6.0,29.0,0,TAIWAN,NA,84.0,TAINAN,23.6,120.5,10.0,1,0.8,1.0,0,1.0,0.0,1.0
77,1793,2,8,4.0,1.0,6.9,29.0,1,JAPAN,NA,85.0,W. OFF AOMORI,40.85,139.95,1.8,5,1.0,2.0,12,1.0,0.0,1.0
78,1793,2,17,4.0,1.0,8.3,33.0,1,JAPAN,NA,85.0,SANRIKU,38.5,144.0,4.5,8,2.2,2.0,720,3.0,0.0,3.0
79,1794,6,11,3.0,3.0,5.5,29.0,0,GREECE,NA,50.0,CORINTH GULF,38.3,22.3,1.0,0,0.8,1.0,0,1.0,0.0,1.0
80,1795,0,0,3.0,1.0,7.1,29.0,0,TRINIDAD AND TOBAGO,NA,74.0,PORT-OF-SPAIN,10.7,-61.7,1.0,1,0.8,1.0,0,1.0,0.0,1.0
81,1797,2,10,4.0,1.0,8.0,29.0,1,INDONESIA,NA,60.0,SW. SUMATRA,0.001,99.0,1.0,2,0.8,3.0,300,3.0,0.0,2.0
82,1797,11,21,2.0,6.0,7.1,29.0,0,JAPAN,NA,85.0,SW. KYUSHU ISLAND,31.6,130.7,1.0,0,0.8,1.0,0,1.0,0.0,1.0
83,1798,2,22,3.0,1.0,7.1,29.0,0,COSTA RICA,NA,74.0,MATINA,10.2,-82.9,1.0,1,0.8,1.0,0,1.0,0.0,1.0
84,1798,12,17,2.0,2.0,7.1,29.0,0,FRANCE,NA,50.0,FRANCE: AIGEUS-MORTES,43.566,4.183,1.0,1,0.8,1.0,0,1.0,0.0,1.0
85,1799,6,29,4.0,1.0,6.4,29.0,0,JAPAN,NA,85.0,SW. HONSHU ISLAND,36.6,136.6,1.0,2,1.0,1.0,0,3.0,0.0,2.0
86,1799,0,0,2.0,1.0,7.1,29.0,0,PERU,NA,89.0,N. PERU,-12.0,-77.0,1.0,0,0.8,1.0,0,1.0,0.0,1.0
87,1800,6,2,2.0,1.0,7.1,29.0,0,PORTUGAL,NA,73.0,AZORES,38.73866666666667,-28.441333333333336,1.0,1,0.8,1.0,0,1.0,0.0,1.0
88,1802,3,19,2.0,1.0,7.1,29.0,0,ANTIGUA AND BARBUDA,NA,74.0,ANTIGUA ISLAND & ST. CHRISTOPHER,17.2,-62.4,1.0,2,0.8,1.0,0,1.0,0.0,1.0
